Model,Accuracy,Precision,Recall,F1_Score,AUC
inceptionv3,0.8759604829857299,0.8886159222302835,0.8759604829857299,0.8745531017857212,0.992281540923712
densenet121,0.8748627881448957,0.8819528275048928,0.8748627881448957,0.8720174653300266,0.9887416803319936
mobilenetv2,0.7541163556531284,0.8149617872599095,0.7541163556531284,0.7568858716164859,0.9793563926768604
resnet50,0.3139407244785949,0.2869804582533385,0.3139407244785949,0.2420309907663096,0.7462667988259601
efficientnetb0,0.0856201975850713,0.0073308182345066,0.0856201975850713,0.0135053092247433,0.4826208752559429
